UF,COD. UF,NOME DO MUNICÍPIO,COD. MUNIC,POPULAÇÃO ESTIMADA 
SP,35,Adamantina,105,35139
SP,35,Adolfo,204,3609
SP,35,Aguaí,303,35508
SP,35,Águas da Prata,402,8104
SP,35,Águas de Lindóia,501,18509
SP,35,Águas de Santa Bárbara,550,6009
SP,35,Águas de São Pedro,600,3268
SP,35,Agudos,709,36880
SP,35,Alambari,758,5754
SP,35,Alfredo Marcondes,808,4135
SP,35,Altair,907,4109
SP,35,Altinópolis,1004,16219
SP,35,Alto Alegre,1103,4154
SP,35,Alumínio,1152,18324
SP,35,Álvares Florence,1202,3795
SP,35,Álvares Machado,1301,24813
SP,35,Álvaro de Carvalho,1400,5119
SP,35,Alvinlândia,1509,3196
SP,35,Americana,1608,233868
SP,35,Américo Brasiliense,1707,39189
SP,35,Américo de Campos,1806,5967
SP,35,Amparo,1905,71193
SP,35,Analândia,2002,4845
SP,35,Andradina,2101,57350
SP,35,Angatuba,2200,24634
SP,35,Anhembi,2309,6484
SP,35,Anhumas,2408,4053
SP,35,Aparecida,2507,36279
SP,35,Aparecida d'Oeste,2606,4329
SP,35,Apiaí,2705,24945
SP,35,Araçariguama,2754,21038
SP,35,Araçatuba,2804,194874
SP,35,Araçoiaba da Serra,2903,32495
SP,35,Aramina,3000,5552
SP,35,Arandu,3109,6368
SP,35,Arapeí,3158,2509
SP,35,Araraquara,3208,230770
SP,35,Araras,3307,131282
SP,35,Arco-Íris,3356,1856
SP,35,Arealva,3406,8452
SP,35,Areias,3505,3879
SP,35,Areiópolis,3604,11107
SP,35,Ariranha,3703,9451
SP,35,Artur Nogueira,3802,51986
SP,35,Arujá,3901,86430
SP,35,Aspásia,3950,1842
SP,35,Assis,4008,102924
SP,35,Atibaia,4107,139683
SP,35,Auriflama,4206,15085
SP,35,Avaí,4305,5337
SP,35,Avanhandava,4404,13112
SP,35,Avaré,4503,89479
SP,35,Bady Bassitt,4602,16843
SP,35,Balbinos,4701,5188
SP,35,Bálsamo,4800,8908
SP,35,Bananal,4909,10867
SP,35,Barão de Antonina,5005,3406
SP,35,Barbosa,5104,7251
SP,35,Bariri,5203,34602
SP,35,Barra Bonita,5302,36331
SP,35,Barra do Chapéu,5351,5653
SP,35,Barra do Turvo,5401,7781
SP,35,Barretos,5500,120638
SP,35,Barrinha,5609,31921
SP,35,Barueri,5708,267534
SP,35,Bastos,5807,21073
SP,35,Batatais,5906,61480
SP,35,Bauru,6003,371690
SP,35,Bebedouro,6102,77761
SP,35,Bento de Abreu,6201,2925
SP,35,Bernardino de Campos,6300,11180
SP,35,Bertioga,6359,59297
SP,35,Bilac,6409,7837
SP,35,Birigui,6508,120692
SP,35,Biritiba-Mirim,6607,31793
SP,35,Boa Esperança do Sul,6706,14727
SP,35,Bocaina,6805,12040
SP,35,Bofete,6904,11236
SP,35,Boituva,7001,57910
SP,35,Bom Jesus dos Perdões,7100,24023
SP,35,Bom Sucesso de Itararé,7159,3888
SP,35,Borá,7209,839
SP,35,Boracéia,7308,4717
SP,35,Borborema,7407,15791
SP,35,Borebi,7456,2577
SP,35,Botucatu,7506,142546
SP,35,Bragança Paulista,7605,164163
SP,35,Braúna,7704,5557
SP,35,Brejo Alegre,7753,2812
SP,35,Brodowski,7803,24092
SP,35,Brotas,7902,23858
SP,35,Buri,8009,19737
SP,35,Buritama,8108,16841
SP,35,Buritizal,8207,4408
SP,35,Cabrália Paulista,8306,4352
SP,35,Cabreúva,8405,47877
SP,35,Caçapava,8504,92587
SP,35,Cachoeira Paulista,8603,32773
SP,35,Caconde,8702,19025
SP,35,Cafelândia,8801,17645
SP,35,Caiabu,8900,4211
SP,35,Caieiras,9007,98223
SP,35,Caiuá,9106,5695
SP,35,Cajamar,9205,73921
SP,35,Cajati,9254,28870
SP,35,Cajobi,9304,10444
SP,35,Cajuru,9403,25655
SP,35,Campina do Monte Alegre,9452,5963
SP,35,Campinas,9502,1182429
SP,35,Campo Limpo Paulista,9601,82520
SP,35,Campos do Jordão,9700,51454
SP,35,Campos Novos Paulista,9809,4900
SP,35,Cananéia,9908,12609
SP,35,Canas,9957,4975
SP,35,Cândido Mota,10005,31263
SP,35,Cândido Rodrigues,10104,2792
SP,35,Canitar,10153,5025
SP,35,Capão Bonito,10203,47463
SP,35,Capela do Alto,10302,20005
SP,35,Capivari,10401,54298
SP,35,Caraguatatuba,10500,116786
SP,35,Carapicuíba,10609,396587
SP,35,Cardoso,10708,12328
SP,35,Casa Branca,10807,30144
SP,35,Cássia dos Coqueiros,10906,2591
SP,35,Castilho,11003,20362
SP,35,Catanduva,11102,120691
SP,35,Catiguá,11201,7700
SP,35,Cedral,11300,8971
SP,35,Cerqueira César,11409,19495
SP,35,Cerquilho,11508,46733
SP,35,Cesário Lange,11607,17587
SP,35,Charqueada,11706,16772
SP,35,Clementina,11904,8254
SP,35,Colina,12001,18376
SP,35,Colômbia,12100,6225
SP,35,Conchal,12209,27554
SP,35,Conchas,12308,17638
SP,35,Cordeirópolis,12407,23793
SP,35,Coroados,12506,5885
SP,35,Coronel Macedo,12605,4840
SP,35,Corumbataí,12704,4054
SP,35,Cosmópolis,12803,69086
SP,35,Cosmorama,12902,7374
SP,35,Cotia,13009,237750
SP,35,Cravinhos,13108,34651
SP,35,Cristais Paulista,13207,8424
SP,35,Cruzália,13306,2161
SP,35,Cruzeiro,13405,81724
SP,35,Cubatão,13504,128748
SP,35,Cunha,13603,21929
SP,35,Descalvado,13702,33346
SP,35,Diadema,13801,417869
SP,35,Dirce Reis,13850,1785
SP,35,Divinolândia,13900,11384
SP,35,Dobrada,14007,8744
SP,35,Dois Córregos,14106,26891
SP,35,Dolcinópolis,14205,2136
SP,35,Dourado,14304,8909
SP,35,Dracena,14403,46324
SP,35,Duartina,14502,12549
SP,35,Dumont,14601,9468
SP,35,Echaporã,14700,6247
SP,35,Eldorado,14809,15436
SP,35,Elias Fausto,14908,17393
SP,35,Elisiário,14924,3537
SP,35,Embaúba,14957,2476
SP,35,Embu das Artes,15004,267054
SP,35,Embu-Guaçu,15103,68270
SP,35,Emilianópolis,15129,3197
SP,35,Engenheiro Coelho,15152,19497
SP,35,Espírito Santo do Pinhal,15186,44170
SP,35,Espírito Santo do Turvo,15194,4713
SP,35,Estrela d'Oeste,15202,8466
SP,35,Estrela do Norte,15301,2769
SP,35,Euclides da Cunha Paulista,15350,9559
SP,35,Fartura,15400,16028
SP,35,Fernandópolis,15509,68670
SP,35,Fernando Prestes,15608,5782
SP,35,Fernão,15657,1691
SP,35,Ferraz de Vasconcelos,15707,188868
SP,35,Flora Rica,15806,1571
SP,35,Floreal,15905,2982
SP,35,Flórida Paulista,16002,14282
SP,35,Florínia,16101,2758
SP,35,Franca,16200,347237
SP,35,Francisco Morato,16309,171602
SP,35,Franco da Rocha,16408,149502
SP,35,Gabriel Monteiro,16507,2791
SP,35,Gália,16606,6776
SP,35,Garça,16705,44582
SP,35,Gastão Vidigal,16804,4683
SP,35,Gavião Peixoto,16853,4739
SP,35,General Salgado,16903,10951
SP,35,Getulina,17000,11362
SP,35,Glicério,17109,4800
SP,35,Guaiçara,17208,11869
SP,35,Guaimbê,17307,5737
SP,35,Guaíra,17406,40287
SP,35,Guapiaçu,17505,20637
SP,35,Guapiara,17604,17640
SP,35,Guará,17703,21081
